Date,Total doses,First dose,Second dose,First_dose_with_Pfizer,First_dose_with_Moderna,Second_dose_with_Pfizer,Second_dose_with_Moderna
7/29/2021,30372,9097,21275,9074,23,21242,33
7/28/2021,30247,11800,18447,11517,283,18441,6
7/27/2021,42721,16523,26198,7285,9238,19283,6915
7/26/2021,69145,26230,42915,20343,5887,40920,1995
7/21/2021,46866,3990,42876,371,3619,35406,7470
7/20/2021,73571,40531,33040,34550,5981,30208,2832
7/19/2021,112168,44197,67971,29457,14740,60294,7677
7/16/2021,65454,28268,37186,23717,4551,35455,1731
7/15/2021,58287,25096,33191,24563,533,31996,1195
7/14/2021,62157,22354,39803,22176,178,37839,1964
7/13/2021,73445,35106,38339,25653,9453,37198,1141
7/12/2021,141584,69715,71869,47667,22048,67841,4028
7/9/2021,78312,31959,46353,31738,221,44589,1764
7/8/2021,83340,36736,46604,34199,2537,44991,1613
7/7/2021,76653,30965,45688,28661,2304,44525,1163
7/6/2021,99765,46591,53174,45037,1554,52475,699
7/5/2021,145089,63678,81411,57890,5788,79320,2091
7/2/2021,81824,26384,55440,25406,978,55293,147
7/1/2021,94797,36935,57862,36346,589,57754,108
6/30/2021,79179,32101,47078,30313,1788,46697,381
6/29/2021,94481,39436,55045,36069,3367,53790,1255
6/28/2021,159655,79109,80546,71303,7806,80018,528
6/25/2021,128355,53295,75060,47766,5529,74926,134
6/24/2021,109421,45382,64039,43798,1584,63930,109
6/23/2021,111486,51654,59832,46971,4683,59733,99
6/22/2021,94135,46419,47716,44473,1946,47609,107
6/21/2021,198780,74997,123783,67154,7843,123679,104
6/18/2021,125948,52257,73691,50112,2145,73691,0
6/17/2021,129330,51537,77793,46926,4611,77793,0
6/16/2021,118735,46694,72041,43912,2782,72041,0
6/15/2021,115363,43415,71948,40459,2956,71948,0
6/14/2021,214965,91429,123536,85819,5610,123536,0
6/11/2021,147983,56503,91480,54834,1669,91480,0
6/10/2021,136591,53969,82622,52250,1719,82622,0
6/9/2021,167384,68741,98643,67694,1047,98643,0
6/8/2021,161922,72679,89243,71689,990,89243,0
6/7/2021,239337,106581,132756,104435,2146,132756,0
6/4/2021,159203,63563,95640,62634,929,95640,0
6/3/2021,143157,59766,83391,59654,112,83391,0
6/2/2021,159126,71456,87670,71140,316,87670,0
6/1/2021,159057,66387,92670,66264,123,92670,0
5/31/2021,273255,132005,141250,131423,582,141250,0
5/28/2021,164516,87741,76775,87584,157,76775,0
5/27/2021,145149,84257,60892,84217,40,60892,0
5/26/2021,142589,93415,49174,93243,172,49174,0
5/25/2021,139652,87590,52062,87114,476,52062,0
5/24/2021,330589,136760,193829,136491,269,193829,0
5/21/2021,249021,99918,149103,99918,0,149103,0
5/20/2021,190533,81422,109111,81422,0,109111,0
5/19/2021,267866,88163,179703,88163,0,179703,0
5/18/2021,250244,94577,155667,94577,0,155667,0
5/17/2021,349566,133843,215723,133843,0,215723,0
5/14/2021,242878,99493,143385,99493,0,143385,0
5/13/2021,219139,93429,125710,93429,0,125710,0
5/12/2021,181720,82959,98761,82959,0,98761,0
5/11/2021,168738,90287,78451,90287,0,78451,0
5/10/2021,223504,155255,68249,155255,0,68249,0
5/7/2021,140344,97165,43179,97165,0,43179,0
5/6/2021,331914,268978,62936,268978,0,62936,0
4/30/2021,274907,227667,47240,227667,0,47240,0
4/28/2021,238273,194005,44268,194005,0,44268,0
4/27/2021,203174,172069,31105,172069,0,31105,0
4/26/2021,263328,221677,41651,221677,0,41651,0
4/23/2021,177672,147989,29683,147989,0,29683,0
4/22/2021,150489,128634,21855,128634,0,21855,0
4/21/2021,152884,126188,26696,126188,0,26696,0
4/20/2021,126419,98622,27797,98622,0,27797,0
4/19/2021,119032,64725,54307,64725,0,54307,0
4/16/2021,69687,29696,39991,29696,0,39991,0
4/15/2021,52620,16637,35983,16637,0,35983,0
4/14/2021,50996,9569,41427,9569,0,41427,0
4/13/2021,53986,13896,40090,13896,0,40090,0
4/12/2021,96936,26850,70086,26850,0,70086,0